name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
XR_003956230.2,14.7,0,29.5,1767831.101,20.8,3.91,5.31,1.1e-07,3.5e-03,0,0,0,0,0,0,0,88.4
NM_007592.4,201.1,91.6,310.6,3.392,1.8,0.33,5.27,1.4e-07,4.3e-03,0,0,87.2,102.7,84.9,434.8,255.8,241.1
NM_001403130.1,18.4,0,36.9,211.364,7.7,1.49,5.19,2.1e-07,6.6e-03,1e-04,0,0,0,0,54.9,22.2,33.5
NR_028101.1,4226.9,3720.4,4733.3,1.273,0.3,0.07,5.18,2.2e-07,6.8e-03,1e-04,0,3751.1,3532.5,3877.6,4892.3,4526.9,4780.8
NM_030263.6,15.4,0,30.9,176.848,7.5,1.44,5.18,2.2e-07,6.9e-03,1e-04,0,0,0,0,36.6,21.2,34.8
NM_009643.3,24.3,0,48.5,278.357,8.1,1.57,5.17,2.4e-07,7.4e-03,1e-04,0,0,0,0,28.8,88.6,28.1
NM_007426.4,50.7,21.9,79.3,3.626,1.9,0.36,5.14,2.7e-07,8.3e-03,1e-04,0,22.8,23.6,19.4,95.8,76.6,65.6
NR_166766.1,14.2,28.4,0,0.007,-7.2,1.41,-5.13,2.9e-07,9.1e-03,1e-04,0,24.8,33.7,26.6,0,0,0
NM_001358780.1,13,0,26,148.774,7.2,1.41,5.12,3.1e-07,9.7e-03,1e-04,0,0,0,0,25.3,25.9,26.8
NM_001355005.1,1646.2,1813.2,1479.2,0.817,-0.3,0.06,-5.09,3.6e-07,1.1e-02,1e-04,0,1823.6,1765.8,1850.3,1485.5,1494.8,1457.4
NM_001276413.1,275.7,360.3,191.1,0.53,-0.9,0.18,-5.08,3.7e-07,1.2e-02,1e-04,0,333.8,356.2,390.9,213.5,164.3,195.6
NM_029673.3,25.4,0,50.8,290.43,8.2,1.61,5.08,3.8e-07,1.2e-02,1e-04,0,0,0,0,27,27.7,97.8
NM_008235.3,12.5,0,25,143.595,7.2,1.42,5.03,4.8e-07,1.5e-02,1e-04,0,0,0,0,27,24,24.1
NM_016762.2,12.9,25.9,0,0.007,-7.1,1.43,-4.96,6.9e-07,2.1e-02,2e-04,0,30.7,24.4,22.5,0,0,0
NM_001109909.1,27.9,55.8,0,0.003,-8.2,1.67,-4.92,8.9e-07,2.8e-02,2e-04,0,73.3,80.8,13.3,0,0,0
XM_017322385.3,644.9,749.7,540.1,0.72,-0.5,0.1,-4.91,9.2e-07,2.9e-02,2e-04,0,748.8,779.8,720.5,515.8,566,538.5
NM_011693.3,266,337.2,194.7,0.578,-0.8,0.16,-4.88,1.0e-06,3.3e-02,2e-04,0,294.2,352,365.4,194.3,195.7,194.2
NM_146126.4,210,144.9,275.1,1.893,0.9,0.19,4.87,1.1e-06,3.5e-02,3e-04,0,126.8,167.6,140.2,257.9,280.7,286.7
NM_011254.5,1109.6,1256.2,962.9,0.767,-0.4,0.08,-4.85,1.2e-06,3.8e-02,3e-04,0,1226.3,1281.6,1260.8,1019.4,937.1,932.3
NM_011434.2,3737,3018.9,4455.2,1.475,0.6,0.12,4.83,1.4e-06,4.3e-02,3e-04,0,2661.5,3384.3,3010.8,4212.7,4638.6,4514.2
NM_001018042.3,23.3,46.6,0,0.004,-7.9,1.65,-4.82,1.4e-06,4.4e-02,3e-04,0,26.7,21.9,91.1,0,0,0
NM_001081069.3,14,27.9,0,0.007,-7.2,1.5,-4.82,1.4e-06,4.5e-02,3e-04,0,26.7,38.7,18.4,0,0,0
NM_033073.3,222.9,130.5,315.2,2.409,1.3,0.26,4.81,1.5e-06,4.6e-02,3e-04,0,135.7,148.2,107.5,247.4,325.9,372.4
